date,sh_close,sz_close,hs_close,gz_close,cyb_close,alla_close,amount_yi,sh_ret,sz_ret,hs_ret,gz_ret,cyb_ret,alla_ret,amount_yoy,m1_yoy,m2_yoy,scissors,m1,m2,credit,credit_yoy,credit_sum,rz_yi,rz_buy_yi,rz_chg,north_yi,ipo_yi,ipo_n,eq_fund_raise,fund_n_new,fund_net,aum,aum_chg,sub,red,pe,pb,pe_sh,inc_capital,z_scissors,z_m2,z_credit,z_turnover,z_fundnet,z_ipo,z_margin,z_north,flow_score,flow_bucket,ret_next1,ret_next2,ret_next4,alla_next1,alla_next2,alla_next4,gz_next1,gz_next4
1990-12-31,127.61,,,,,127.61,0.01884,,,,,,,,19.212556019970805,,,6950.7,15293.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2940992085259775,5.115429825248805,4.076953216832538,1.2940992085259775,5.392915915680589,4.232897108377086,,
1991-12-31,292.75,963.57,,,,292.75,12.55918,1.2940992085259775,,,,,1.2940992085259775,665.6231422505308,24.2,26.5,-2.3000000000000007,8633.3,19349.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6657216054654143,1.8481639624252777,0.8968061485909482,1.7866780529461996,1.8958155422715628,0.9647822374039285,,
1992-12-31,780.39,2309.77,,,,815.8,181.70898,1.6657216054654143,1.3970962151167012,,,,1.7866780529461996,13.468220058952893,35.9,31.3,4.599999999999998,11731.5,25402.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06844013890490652,-0.16981252963261953,0.17507656428196167,0.03916401078695775,-0.18145378769306195,0.17060921794557496,,
1993-12-31,833.8,2225.38,,,,847.75,2720.59824,0.06844013890490652,-0.03653610532650431,,,,0.03916401078695775,13.972282822786193,38.78,37.31,1.4699999999999989,16280.4,34879.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.22299112497001672,-0.3340249460302231,0.43212041256896166,-0.21230315541138312,-0.3215098790917133,0.4845072250073725,,
1994-12-31,647.87,1271.05,,,,667.77,12700.90051,-0.22299112497001672,-0.4288391196110328,,,,-0.21230315541138312,3.668421938698306,26.2,34.5,-8.3,20540.7,46923.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14289903838733087,0.4154351953323969,0.7699538487659563,-0.13864054988993202,0.43010767180316567,0.8264312562708718,,
1995-12-31,555.29,987.75,,,,575.19,9091.82706,-0.14289903838733087,-0.22288658982730813,,,,-0.13864054988993202,-0.2841588631576486,16.8,29.5,-12.7,23987.1,60750.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6514217796106541,1.1504114966954209,1.461020367735778,0.6602913819781286,1.1879570228967815,1.5242093916792707,,
1996-12-31,917.018,3217.542,,,,954.983,29781.37092,0.6514217796106541,2.257445709946849,,,,0.6602913819781286,2.2756200402254465,18.9,25.3,-6.400000000000002,28514.8,76094.9,,,,,,,,,,,,,,,,,,,,,-0.3828745753322843,-1.17639176994187,,-0.4242931960235249,,,,,-0.6611865137658931,大幅流出,0.30215764576049775,0.2504661849603826,1.261108287950727,0.3178150815250116,0.2771284933867933,1.2957246359359278,,
1997-12-31,1194.102,4184.844,,,,1258.491,27895.73705,0.30215764576049775,0.3006338378799718,,,,0.3178150815250116,-0.06331588545958045,22.1,19.6,2.5,34826.3,90995.3,,,,,,,,,,,,,,,,,,,,,0.8685576523780603,-1.6018759332652912,,-0.400172708746893,,,,,-0.37783032987804127,中性,-0.03969677632229074,0.14444159711649404,0.378417421627298,-0.03087427720976954,0.1536832603491006,0.3607892309122591,,
1998-12-31,1146.7,2949.317,,,,1219.636,27028.97299,-0.03969677632229074,-0.2952384843975068,,,,-0.03087427720976954,-0.03107155973138198,11.9,14.8,-2.9000000000000004,38953.7,104498.5,,,,,,,,,,,,,107.42,5.6299999999999955,,,,,,,0.01763690821764561,-1.6750127942961897,,-0.37374813971702003,,,,,-0.6770413419318547,大幅流出,0.19175023981860972,0.8082122612714744,0.18396616377430883,0.19043714682085477,0.7975674709503493,0.1635578156105593,,
1999-12-31,1366.58,3369.614,,,,1451.9,45489.321016,0.19175023981860972,0.14250655321215056,,,,0.19043714682085477,0.6829837017051976,17.7,14.7,3.0,45837.3,119897.9,,,,,,,,,,,,,514.15,70.72999999999996,,,,,38.14,,0.9114341230799294,-1.3747491666218807,,-0.3492220844492452,,,,,-0.2708457093303988,中性,0.5172745100908838,0.20444540385487864,0.09546751745232633,0.5100061987740203,0.17951718437908945,0.08074040911908544,,
2000-12-31,2073.477,4752.751,,,,2192.378,69436.77641,0.5172745100908838,0.4104734251460256,,,,0.5100061987740203,0.5264412582807501,16.0,12.3,3.6999999999999993,53147.15,134610.26,,,,,,,,,,,,,845.62,72.16999999999996,,,,,59.14,,0.9301300436197185,-1.3896683048790346,,-0.3317655707783422,,,,,-0.2637679440125527,流入,-0.20617831786897078,-0.34522832903379197,-0.3891921636941234,-0.21886599847289112,-0.3527042325730326,-0.3932684053571054,,
2001-12-31,1645.971,3325.664,,,,1712.541,53663.92442,-0.20617831786897078,-0.300265467305146,,,,-0.21886599847289112,-0.22715415094829283,12.65,17.6,-4.950000000000001,59871.59,158301.92,,,,,,,,,,,,,785.66,122.04999999999995,,,,,37.59,,-0.5198616707447418,-0.7341894385944678,,-0.3195589385762079,,,,,-0.5245366826384725,流出,-0.17516529756599597,-0.09047972291127847,-0.2946066485983046,-0.1713383796358744,-0.08374339650846306,-0.2991956397613738,,
2002-12-31,1357.654,2759.3,1103.641,,,1419.117,42321.671893,-0.17516529756599597,-0.1703010286066181,,,,-0.1713383796358744,-0.21135712025512732,16.82,16.8,0.019999999999999574,70881.79,185006.97,,,,,,,,,,,,,1112.92,163.07000000000005,,,,,34.5,,0.3474652273778641,-0.7710457633028741,,-0.30572364663519414,,,,,-0.2431013941867347,流入,0.10266975238168197,-0.06714376416966326,0.9706596820692167,0.10570657669522676,-0.06266713738190717,0.8241385110345947,,
2003-12-31,1497.044,3479.796,1194.744,,,1569.127,50140.523515,0.10266975238168197,0.261115500308049,0.08254767628241422,,,0.10570657669522676,0.1847481744522772,18.67,19.58,-0.9099999999999966,84118.57,221222.82,,,,,,,,,,,,,1572.74,208.6300000000001,,,,,36.64,,0.16862266269925405,-0.42441712660916436,,-0.291632957264591,,,,,-0.18247580705816713,流入,-0.1540021535773164,-0.22443361718159255,2.514634840392133,-0.15227703047618202,-0.2351440005255043,3.439240572119332,,
2004-12-31,1266.496,3067.57,1000.0,,,1330.185,62788.584294,-0.1540021535773164,-0.11846269149111033,-0.16300060933555638,,,-0.15227703047618202,0.2522522680724746,13.58,14.67,-1.0899999999999999,95970.82,253207.7,,,,,,,,,,,,14.0,3246.29,172.07000000000016,836.25,822.25,,,24.29,,0.12925312036015768,-0.9510501555436103,,-0.28058544096600463,,,,,-0.3674608253831524,中性,-0.08325253297286372,1.1125009474960839,0.4376713388751326,-0.09775241798139578,0.9460946946205834,0.9493343605763388,,
2005-12-31,1161.057,2863.612,923.451,735.519,,1200.156199887417,40150.79661,-0.08325253297286372,-0.0664884582910904,-0.07654899999999998,,,-0.09775241798139578,-0.36053986466713894,11.78,17.57,-5.790000000000001,107278.76,298755.67,,,,,,,,,,,,-274.80999999999995,4814.41,251.07999999999993,2493.85,2768.66,12.61,1.62,16.38,,-0.7718666447361043,-0.571035928495765,,-0.2743204989519762,,,,,-0.5390743573946152,流出,1.3043433698776203,3.531700855341297,1.8225479024716273,1.1569408812008932,4.804021378101721,3.4811813155064653,1.1569408812008937,3.4811813155064653
2006-12-31,2675.474,6647.139,2041.047,1586.471,,2588.6659713638805,103512.80552,1.3043433698776203,1.3212428918442862,1.210238550827277,1.1569408812008937,,1.1569408812008932,1.5781009160405794,17.48,16.94,0.5399999999999991,126035.13,345603.59,,,,,,,,,,,,-30.929999999999836,8574.48,3426.6399999999994,2490.09,2521.02,30.66,2.3,33.38,,0.4986179879438034,-0.6218733269973443,,-0.25463085139243846,,,,,-0.12596206348199313,大幅流入,0.9665909666847818,-0.3194458253004889,0.04956243267548105,1.6908578852055918,0.0016647010881384618,1.0265400376054779,1.6908578852055913,1.0265400376054776
2007-12-31,5261.563,17700.622,5338.275,4268.968,,6965.73224120789,289096.02058,0.9665909666847818,1.662893313950558,1.61545912465514,1.6908578852055913,,1.6908578852055918,1.792852721242716,21.0,16.7,4.300000000000001,152560.08,403442.21,,,,,,,,,,,,1525.9800000000005,33334.38,2895.2899999999972,6679.6,5153.62,43.17,5.91,59.24,,1.1889194864953103,-0.6259672733136232,,-0.2457593368116833,,,,,0.10573095879000127,大幅流入,-0.6539421841000479,-0.3771548492339634,-0.5819840986414113,-0.6277526559112179,-0.22791784806070225,-0.45534330545462043,-0.6277526559112179,-0.45534330545462043
2008-12-31,1820.805,6485.513,1817.722,1589.112,,2592.975326423237,242643.55976,-0.6539421841000479,-0.6335997119197281,-0.6594926263633851,-0.6277526559112179,,-0.6277526559112179,-0.16068177184454002,9.06,17.82,-8.76,166217.13,475166.6,7645.0,1476.28865979,49042.0,,,,,,,,,2074.83,21411.05,2082.0099999999984,7692.21,5617.38,12.42,2.08,14.86,,-1.3688435155922947,-0.4643419593404583,,-0.25057519409847906,,,,,-0.6945868896770774,大幅流出,0.7998297456344858,0.5422173159673882,0.24622241261420105,1.0741105724454916,1.0231720608742492,0.5596609930577582,1.0741105724454916,0.5596609930577582
2009-12-31,3277.139,13699.97,3575.684,3295.994,,5378.117538624736,510644.10652,0.7998297456344858,1.1123957349249012,0.9671236855800833,1.0741105724454916,,1.0741105724454916,1.1045030291555262,32.35,27.68,4.670000000000002,221445.81,610224.52,3800.0,-50.29431001,95943.0,,,,,,,,,231.03999999999996,29008.88,5950.630000000001,5703.67,5472.63,23.99,4.65,28.78,,1.2166204032051269,0.8118693870638358,,-0.2359988375746568,-0.371252217614848,,,,0.35530968376986444,大幅流入,-0.14313155468840344,-0.32886063117859815,-0.35432155914045754,-0.02455920732865413,-0.29456121582745604,-0.19467511166585877,-0.02455920732865413,-0.1946751116658586
2010-12-31,2808.077,12458.552,3128.261,3215.047,1137.662,5246.03523495578,420970.59774,-0.14313155468840344,-0.09061465098098753,-0.12512934588179503,-0.02455920732865413,,-0.02455920732865413,-0.17560862376561637,21.19,19.72,1.4700000000000024,266621.54,725851.79,4807.0,26.5,79450.0,127.60582781,689.6038536799999,,,4536.228487495,308.0,,,-1104.4199999999992,27758.55,2555.9699999999975,5865.56,6969.98,14.99,4.38,21.6,,0.5705563684154105,-0.2515411010363608,,-0.23817232483522582,-1.3317806706084765,,,,-0.31273443201616313,中性,-0.21675331552517973,-0.19192814157161636,0.15191891105550176,-0.27679999701404057,-0.22910116088505075,0.22599389682328133,-0.27679999701404057,0.22599389682328141
2011-12-31,2199.417,8918.816,2345.742,2325.122,729.504,3793.9326975844683,338736.16221,-0.21675331552517973,-0.28412097970935946,-0.25014504863884435,-0.27679999701404057,-0.35876912474882694,-0.27679999701404057,-0.1953448434913967,7.85,13.61,-5.76,289847.73,851590.94,6406.0,33.26399001,74715.0,375.47763869,2908.99363778,247.87181088,,2599.9613504,264.0,,,1558.3100000000004,25534.51,2092.8099999999977,6486.6,4928.29,10.26,2.52,13.41,-2352.08953952,-0.8353740877420203,-1.0382074781895458,,-0.2325226708810023,0.9657706249186939,,,,-0.2850834029734686,中性,0.03169521741443315,-0.03793687145275311,0.6091455144704255,0.06595524879984804,0.14159429053615236,1.2850646116633886,0.06595524879984804,1.2850646116633886
2012-12-31,2269.128,9116.484,2522.952,2478.476,713.863,4044.1624725835304,368984.3456654,0.03169521741443315,0.02216303150552723,0.07554539246004044,0.06595524879984804,-0.021440595253761408,0.06595524879984804,0.08929717824649486,6.5,13.8,-7.300000000000001,308664.23,974148.8,4546.08,-29.0340306,82037.75,856.94391725,7265.9755992499995,481.46627856000003,,986.2004053,140.0,,,1112.7600000000002,28377.72,3237.3300000000017,11631.45,10518.69,10.49,2.31,12.3,-504.73412674,-1.0861015986250315,-0.9666099945993414,,-0.22522761688440607,0.5213804908545936,,,,-0.4391396798135464,流出,-0.06749288713549884,0.4255154402924824,0.36776638426743663,0.07095892798639136,0.5903434207149877,0.8647132350686467,0.07095892798639158,0.8647132350686473
2013-12-31,2115.978,8121.788,2330.026,2654.346,1304.444,4331.131906240852,554980.4296758,-0.06749288713549884,-0.10910960848502571,-0.07646835928705753,0.07095892798639158,0.8273029979141655,0.07095892798639136,0.5040758129589158,9.3,13.6,-4.299999999999999,337291.05,1106524.98,4825.0,6.13539577,88917.0,3434.70148942,32891.94050187,2577.75757217,,,0.0,,1.0,-3586.170000000013,30687.98,1255.0200000000004,200956.03,204542.2,8.62,2.59,10.99,2577.75757217,-0.47452124664355616,-0.9520655288054514,-0.3930801388057444,-0.21739219706986124,-2.275983727767574,,,,-0.8626085678184374,大幅流出,0.5286912245779494,0.6725986754115589,0.5629519777615833,0.48497143929239095,1.001643342653897,0.7998120817708017,0.4849714392923907,0.7998120817708017
2014-12-31,3234.677,11014.624,3533.705,3941.628,1471.764,6431.607180575675,821864.8411634,0.5286912245779494,0.3561821608739357,0.5165946646088928,0.4849714392923907,0.12826920895032679,0.48497143929239095,0.4808897705519173,3.2,12.2,-9.0,348056.41,1228374.81,6973.0,44.51813472,97813.0,10173.72873368,94791.23325259,6739.02724426,685.7047,747.6954146293,117.0,,0.0,-0.5700000000069849,47131.21,6916.139999999999,283946.54,283947.11,12.74,3.28,15.99,6677.0365296307,-1.3423209676101584,-1.0910030849217738,-0.3066372314974943,-0.21296106833958672,-0.08900963974953847,,,,-0.6083863984237103,大幅流出,0.09413768360797681,-0.04051100001638498,-0.22901235579317505,0.34793389939385455,0.17252236892979234,-0.13245237754552172,0.34793389939385455,-0.13245237754552158
2015-12-31,3539.182,12664.89,3731.005,5313.054,2714.048,8669.381346282884,1859739.3351147,0.09413768360797681,0.14982499629583357,0.05583374956313558,0.34793389939385455,0.844078262547528,0.34793389939385455,1.262828681760039,15.2,13.3,1.8999999999999986,400953.44,1392278.11,8323.083231,19.36158369,112692.90325500001,11713.07207674,318360.95974301,1539.3433430599998,185.28509999999994,1545.62135522,210.0,,0.0,-20720.660000000033,97189.87,16226.509999999995,503164.66,523885.32,13.01,5.28,17.63,179.00708783999994,0.8004366611373228,-0.9056761954533115,-0.3295239811327234,-0.20300216301762966,-3.082896457087111,,,,-0.7441324271106906,大幅流出,-0.12306374749871574,-0.06555469597212009,-0.13818390803298622,-0.1301336293589338,-0.10083277903819549,-0.13649136635915993,-0.1301336293589337,-0.13649136635915962
2016-12-31,3103.637,10177.138,3310.081,4621.647,1962.059,7541.203287394453,941618.1653118,-0.12306374749871574,-0.19642902543962082,-0.11281786006719363,-0.1301336293589337,-0.2770728446954511,-0.1301336293589338,-0.4936827180386947,21.35,11.33,10.020000000000001,486557.24,1550066.67,9942.78798,19.46039351,124372.36588499998,9357.69676921,114738.00622176,-2355.375307529999,606.7929,1499.5551639965,225.0,,0.0,-16539.179999999993,91304.57,75.52000000000407,321005.94,337545.12,12.31,4.08,15.91,-3248.1375715264994,2.143607971813882,-1.1235385597194754,-0.3108206299792109,-0.21199703225870378,-1.9044896689544901,0.34659251189221635,-1.2827352993746377,,-0.3347686723686314,中性,0.06557951203700685,-0.1964601530398046,0.11903196153416133,0.03368431210778322,-0.2601014313728416,0.2613384362760723,0.03368431210778322,0.2613384362760725
2017-12-31,3307.172,11040.45,4030.855,4777.324,1752.652,7795.223532595288,873070.9010885,0.06557951203700685,0.08482856378679338,0.2177511668143468,0.03368431210778322,-0.1067281870728658,0.03368431210778322,-0.07279730441542798,11.8,8.1,3.700000000000001,543790.15,1676768.54,5769.490608,-41.97311036,138432.388676,10217.57693531,102543.1652579,859.8801660999998,1997.3768,2279.7756086844,429.0,,0.0,-3001.359999999986,117372.42,3717.3099999999977,288140.76,291142.12,14.05,3.18,18.08,577.4813574155996,0.9453509563189014,-1.4684060645989634,-0.4119746900275024,-0.20484374206274159,-0.03365414495828732,-0.1959339394506357,-0.20897461943180773,,-0.2254908920301481,流入,-0.24591282219370503,-0.07772441227731736,0.10057021527758467,-0.2842122493680561,-0.039657347921137294,0.32094348216700397,-0.2842122493680561,0.32094348216700425
2018-12-31,2493.896,7239.789,3010.654,3419.55,1250.525,5579.7255180695765,816629.6072737,-0.24591282219370503,-0.344248739861147,-0.2530979159508343,-0.2842122493680561,-0.28649555074253186,-0.2842122493680561,-0.06464686172043066,1.5,8.1,-6.6,551685.91,1826744.22,9281.464384,60.87147054,156712.410745,7489.80879084,74920.06075697,-2727.76814447,2942.179,1377.1972547776,103.0,,0.0,-4565.8000000000175,129788.1,-5138.049999999988,220361.09,224926.89,10.09,1.98,12.43,-1162.7863992476,-0.9213385237659186,-1.3884855117797001,-0.18341187130237582,-0.20107172786478472,-0.24980082542187415,0.4696079206935803,-1.2290092385499753,,-0.5290728254272927,流出,0.22303576412167936,0.3926278401344723,0.23872767749737756,0.34165840534573255,0.7047450687956016,0.5027266745624425,0.3416584053457328,0.5027266745624425
2019-12-31,3050.124,10430.767,4096.582,4587.868,1798.118,7486.08564084012,1261932.7084983,0.22303576412167936,0.4407556629067504,0.36069505163994275,0.3416584053457328,0.43789048599588165,0.34165840534573255,0.5452938483472756,4.4,8.7,-4.299999999999999,576009.15,1986488.82,10769.81577,16.03573881,168834.90615099997,10055.04471274,113452.83821441999,2565.2359219,3517.4276000000004,2487.0989768566997,200.0,,0.0,985.5,145553.53,7907.859999999986,203167.54,202182.04,12.3,2.37,14.55,3595.5645450433003,-0.4859411393911465,-1.250464393479155,-0.27243914105441724,-0.19279191749973906,0.5531105827349597,-0.41845692010563207,0.5166382580603873,1.3547829444010988,-0.024445215791705555,大幅流入,0.13866485428133424,0.1933203371403918,-0.02465112893770861,0.2706252664636384,0.375491840654526,0.061576967776753755,0.2706252664636384,0.061576967776753755
2020-12-31,3473.069,14470.684,5211.289,5829.461,2966.256,9512.009562162095,1669582.6710114,0.13866485428133424,0.3873077598224559,0.27210660008758514,0.2706252664636384,0.6496447952803988,0.2706252664636384,0.3230362124444839,8.6,10.1,-1.5,625580.99,2186795.89,11458.0,6.38993502,200309.0,14820.24045361,195624.58827118,4765.19574087,2089.3226,4715.5074695347,433.0,,0.0,5124.929999999993,200710.77,23506.109999999986,285667.74,280542.81,15.66,2.65,16.76,2139.0108713352993,0.03793608550002146,-1.0324390386869586,-0.2835235805781491,-0.19131134007899558,1.1031725698160157,-1.7660036923630495,1.1330887364127467,0.29373979406015227,-0.0881675582397771,大幅流入,0.04799962223612608,-0.1105106175546757,-0.03492761013386125,0.08253147246374914,-0.11850358034816592,-0.07802728245372924,0.08253147246374914,-0.07802728245372942
2021-12-31,3639.775,14857.346,4940.373,6310.575,3322.673,10297.049717416594,1869354.6480688,0.04799962223612608,0.026720367883093843,-0.05198637035865794,0.08253147246374914,0.12015719479370635,0.08253147246374914,0.11965383956481901,3.5,9.0,-5.5,647443.35,2382899.56,10350.0,-9.67009949,199404.0,17120.50979156,216268.30819609002,2300.2693379500015,4321.6892,5386.7263233759995,521.0,,0.0,3622.3699999999953,253027.48,15520.779999999999,313106.57,309484.2,13.37,3.06,18.02,1235.2322145740018,-0.7070446341352216,-1.1298317444929125,-0.3107984267783366,-0.1898371415772086,0.8345772191460664,-1.7549539369368383,0.2726421189404088,1.5294452422438107,-0.1819751629487789,流入,-0.15125028332795298,-0.18265964242295193,0.09040806093783296,-0.18570827539487278,-0.22822009087919876,0.08535149332667799,-0.18570827539487278,0.08535149332667775
