year,sh_ret,alla_ret,sz_ret,hs_ret,flow_score,flow_bucket,scissors,m1_yoy,m2_yoy,amount_yi,amount_yoy,north_yi,rz_chg,ipo_yi,eq_fund_raise,inc_capital,pe,pb,ret_next1,alla_next1
1990,,,,,,,,19.212556019970805,,0.01884,,,,,,,,,1.2940992085259775,1.2940992085259775
1991,1.2940992085259775,1.2940992085259775,,,,,-2.3000000000000007,24.2,26.5,12.55918,665.6231422505308,,,,,,,,1.6657216054654143,1.7866780529461996
1992,1.6657216054654143,1.7866780529461996,1.3970962151167012,,,,4.599999999999998,35.9,31.3,181.70898,13.468220058952893,,,,,,,,0.06844013890490652,0.03916401078695775
1993,0.06844013890490652,0.03916401078695775,-0.03653610532650431,,,,1.4699999999999989,38.78,37.31,2720.59824,13.972282822786193,,,,,,,,-0.22299112497001672,-0.21230315541138312
1994,-0.22299112497001672,-0.21230315541138312,-0.4288391196110328,,,,-8.3,26.2,34.5,12700.90051,3.668421938698306,,,,,,,,-0.14289903838733087,-0.13864054988993202
1995,-0.14289903838733087,-0.13864054988993202,-0.22288658982730813,,,,-12.7,16.8,29.5,9091.82706,-0.2841588631576486,,,,,,,,0.6514217796106541,0.6602913819781286
1996,0.6514217796106541,0.6602913819781286,2.257445709946849,,-0.6611865137658931,大幅流出,-6.400000000000002,18.9,25.3,29781.37092,2.2756200402254465,,,,,,,,0.30215764576049775,0.3178150815250116
1997,0.30215764576049775,0.3178150815250116,0.3006338378799718,,-0.37783032987804127,中性,2.5,22.1,19.6,27895.73705,-0.06331588545958045,,,,,,,,-0.03969677632229074,-0.03087427720976954
1998,-0.03969677632229074,-0.03087427720976954,-0.2952384843975068,,-0.6770413419318547,大幅流出,-2.9000000000000004,11.9,14.8,27028.97299,-0.03107155973138198,,,,,,,,0.19175023981860972,0.19043714682085477
1999,0.19175023981860972,0.19043714682085477,0.14250655321215056,,-0.2708457093303988,中性,3.0,17.7,14.7,45489.321016,0.6829837017051976,,,,,,,,0.5172745100908838,0.5100061987740203
2000,0.5172745100908838,0.5100061987740203,0.4104734251460256,,-0.2637679440125527,流入,3.6999999999999993,16.0,12.3,69436.77641,0.5264412582807501,,,,,,,,-0.20617831786897078,-0.21886599847289112
2001,-0.20617831786897078,-0.21886599847289112,-0.300265467305146,,-0.5245366826384725,流出,-4.950000000000001,12.65,17.6,53663.92442,-0.22715415094829283,,,,,,,,-0.17516529756599597,-0.1713383796358744
2002,-0.17516529756599597,-0.1713383796358744,-0.1703010286066181,,-0.2431013941867347,流入,0.019999999999999574,16.82,16.8,42321.671893,-0.21135712025512732,,,,,,,,0.10266975238168197,0.10570657669522676
2003,0.10266975238168197,0.10570657669522676,0.261115500308049,0.08254767628241422,-0.18247580705816713,流入,-0.9099999999999966,18.67,19.58,50140.523515,0.1847481744522772,,,,,,,,-0.1540021535773164,-0.15227703047618202
2004,-0.1540021535773164,-0.15227703047618202,-0.11846269149111033,-0.16300060933555638,-0.3674608253831524,中性,-1.0899999999999999,13.58,14.67,62788.584294,0.2522522680724746,,,,,,,,-0.08325253297286372,-0.09775241798139578
2005,-0.08325253297286372,-0.09775241798139578,-0.0664884582910904,-0.07654899999999998,-0.5390743573946152,流出,-5.790000000000001,11.78,17.57,40150.79661,-0.36053986466713894,,,,,,12.61,1.62,1.3043433698776203,1.1569408812008932
2006,1.3043433698776203,1.1569408812008932,1.3212428918442862,1.210238550827277,-0.12596206348199313,大幅流入,0.5399999999999991,17.48,16.94,103512.80552,1.5781009160405794,,,,,,30.66,2.3,0.9665909666847818,1.6908578852055918
2007,0.9665909666847818,1.6908578852055918,1.662893313950558,1.61545912465514,0.10573095879000127,大幅流入,4.300000000000001,21.0,16.7,289096.02058,1.792852721242716,,,,,,43.17,5.91,-0.6539421841000479,-0.6277526559112179
2008,-0.6539421841000479,-0.6277526559112179,-0.6335997119197281,-0.6594926263633851,-0.6945868896770774,大幅流出,-8.76,9.06,17.82,242643.55976,-0.16068177184454002,,,,,,12.42,2.08,0.7998297456344858,1.0741105724454916
2009,0.7998297456344858,1.0741105724454916,1.1123957349249012,0.9671236855800833,0.35530968376986444,大幅流入,4.670000000000002,32.35,27.68,510644.10652,1.1045030291555262,,,,,,23.99,4.65,-0.14313155468840344,-0.02455920732865413
2010,-0.14313155468840344,-0.02455920732865413,-0.09061465098098753,-0.12512934588179503,-0.31273443201616313,中性,1.4700000000000024,21.19,19.72,420970.59774,-0.17560862376561637,,,4536.228487495,,,14.99,4.38,-0.21675331552517973,-0.27679999701404057
2011,-0.21675331552517973,-0.27679999701404057,-0.28412097970935946,-0.25014504863884435,-0.2850834029734686,中性,-5.76,7.85,13.61,338736.16221,-0.1953448434913967,,247.87181088,2599.9613504,,-2352.08953952,10.26,2.52,0.03169521741443315,0.06595524879984804
2012,0.03169521741443315,0.06595524879984804,0.02216303150552723,0.07554539246004044,-0.4391396798135464,流出,-7.300000000000001,6.5,13.8,368984.3456654,0.08929717824649486,,481.46627856000003,986.2004053,,-504.73412674,10.49,2.31,-0.06749288713549884,0.07095892798639136
2013,-0.06749288713549884,0.07095892798639136,-0.10910960848502571,-0.07646835928705753,-0.8626085678184374,大幅流出,-4.299999999999999,9.3,13.6,554980.4296758,0.5040758129589158,,2577.75757217,,,2577.75757217,8.62,2.59,0.5286912245779494,0.48497143929239095
2014,0.5286912245779494,0.48497143929239095,0.3561821608739357,0.5165946646088928,-0.6083863984237103,大幅流出,-9.0,3.2,12.2,821864.8411634,0.4808897705519173,685.7047,6739.02724426,747.6954146293,,6677.0365296307,12.74,3.28,0.09413768360797681,0.34793389939385455
2015,0.09413768360797681,0.34793389939385455,0.14982499629583357,0.05583374956313558,-0.7441324271106906,大幅流出,1.8999999999999986,15.2,13.3,1859739.3351147,1.262828681760039,185.28509999999994,1539.3433430599998,1545.62135522,,179.00708783999994,13.01,5.28,-0.12306374749871574,-0.1301336293589338
2016,-0.12306374749871574,-0.1301336293589338,-0.19642902543962082,-0.11281786006719363,-0.3347686723686314,中性,10.020000000000001,21.35,11.33,941618.1653118,-0.4936827180386947,606.7929,-2355.375307529999,1499.5551639965,,-3248.1375715264994,12.31,4.08,0.06557951203700685,0.03368431210778322
2017,0.06557951203700685,0.03368431210778322,0.08482856378679338,0.2177511668143468,-0.2254908920301481,流入,3.700000000000001,11.8,8.1,873070.9010885,-0.07279730441542798,1997.3768,859.8801660999998,2279.7756086844,,577.4813574155996,14.05,3.18,-0.24591282219370503,-0.2842122493680561
2018,-0.24591282219370503,-0.2842122493680561,-0.344248739861147,-0.2530979159508343,-0.5290728254272927,流出,-6.6,1.5,8.1,816629.6072737,-0.06464686172043066,2942.179,-2727.76814447,1377.1972547776,,-1162.7863992476,10.09,1.98,0.22303576412167936,0.34165840534573255
2019,0.22303576412167936,0.34165840534573255,0.4407556629067504,0.36069505163994275,-0.024445215791705555,大幅流入,-4.299999999999999,4.4,8.7,1261932.7084983,0.5452938483472756,3517.4276000000004,2565.2359219,2487.0989768566997,,3595.5645450433003,12.3,2.37,0.13866485428133424,0.2706252664636384
2020,0.13866485428133424,0.2706252664636384,0.3873077598224559,0.27210660008758514,-0.0881675582397771,大幅流入,-1.5,8.6,10.1,1669582.6710114,0.3230362124444839,2089.3226,4765.19574087,4715.5074695347,,2139.0108713352993,15.66,2.65,0.04799962223612608,0.08253147246374914
2021,0.04799962223612608,0.08253147246374914,0.026720367883093843,-0.05198637035865794,-0.1819751629487789,流入,-5.5,3.5,9.0,1869354.6480688,0.11965383956481901,4321.6892,2300.2693379500015,5386.7263233759995,,1235.2322145740018,13.37,3.06,-0.15125028332795298,-0.18570827539487278
2022,-0.15125028332795298,-0.18570827539487278,-0.258549541755304,-0.21632759307849825,-0.8554543011638465,大幅流出,-6.000000000000001,5.8,11.8,1852451.8626272,-0.009042043177340364,900.1965999999995,-2675.403215780001,5785.2060821256,,-7560.412697905602,10.59,2.4,-0.03700662100737451,-0.05220710735448175
2023,-0.03700662100737451,-0.05220710735448175,-0.13537571670842719,-0.11378244947740412,-0.4412192767746639,流出,-8.399999999999999,1.3,9.7,1703401.8283244,-0.08046094870795362,437.0408999999995,1336.4366486,3531.7107185199,1579.54,-178.6931699199008,10.38,2.52,0.12666764147788112,0.10352981033288011
2024,0.12666764147788112,0.10352981033288011,0.09343318191281624,0.14683324055480584,-0.48484802334950505,流出,-8.7,-1.4,7.3,2351321.392729,0.3803680104311882,-67.79050000000029,-6286.49921084,663.5388463092,2043.2299999999998,-4974.598557149201,12.19,2.32,0.18410520075554282,0.27436216696150995
2025,0.18410520075554282,0.27436216696150995,0.2986583944421928,0.17663144096524652,0.4114580870849552,大幅流入,-4.7,3.8,8.5,2975467.4014886,0.2654447880624269,,15666.839467529999,1286.9171894338,3626.98,18006.9022780962,13.34,3.0,-0.014189536489251364,0.003523919317782287
