机构,类型,母行或中方股东,外方股东,注册资本_亿元,开业年份,总部,规模_2025末_亿元,规模口径,规模同比,净利润_2025_亿元,净利润同比,含权或固收加_亿元,含权口径,非标占比或规模,非标口径,数据完整度,主要来源
工银理财,国有大行,工商银行,,160,2019,北京,20900,年报产品余额,+6.62%,16.37,+15.12%,,其他资产(含权益/衍生品/QDII/基金)占比10.7%,,,部分,上市银行年报/证券日报
农银理财,国有大行,农业银行,,120,2019,北京,21500,年报产品余额,+9.23%,37.54,+91.92%,5785,固收+存续,,,部分,上市银行年报/财经网
中银理财,国有大行,中国银行,,100,2019,北京,19600,年报存续余额,,24.99,+27.31%,,,,,部分,上市银行年报
建信理财,国有大行,建设银行,,150,2019,上海,17400,年报管理规模,,15.59,+2.18%,,,不足3%,理财业务报告(财联社整理),部分,上市银行年报/财联社
交银理财,国有大行,交通银行,,80,2019,上海,17500,年报管理规模,,15.71,+17.32%,,,,,部分,上市银行年报
中邮理财,国有大行,邮储银行,,80,2019,北京,13171.52,年报产品余额,+28.81%,11.71,+13%,3504.53,固收+存续,,,较全,中国证券报/年报
招银理财,股份行,招商银行,,50,2019,深圳,26400,年报产品余额,+6.88%,27.26,-0.47%,,,,,部分,上市银行年报
兴银理财,股份行,兴业银行,,50,2019,上海,24311.61,年报管理规模,+11.64%,25.86,-4.01%,512.40,监管分类混合类;权益77.66;固收23721.54,超1000亿元,法询理财网2026-03不完全统计,较全,兴业银行年报/中国基金报
信银理财,股份行,中信银行,,50,2020,上海,22961.73,年报管理规模,+15.23%,26.64,+6.93%,3374.61,含权产品存续,超2000亿元,法询理财网2026-03不完全统计,较全,中信银行年报/中国证券报
光大理财,股份行,光大银行,,50,2019,上海,19500,年报管理规模,,23.36,+24.52%,,,,,部分,上市银行年报
浦银理财,股份行,浦发银行,,50,2022,上海,14700,公开报道约1.46-1.47万亿,+15.31%,16.41,+41.34%,,,6.28%,理财业务报告(财联社整理),较全,21世纪经济报道/中国证券报/财联社
民生理财,股份行,民生银行,,50,2022,北京,13200,公开报道,,未单独披露,,,,超1000亿元,法询理财网2026-03不完全统计,部分,21世纪经济报道
华夏理财,股份行,华夏银行,,50,2020,北京,12151.17,年报产品余额,+45.82%,8.62,+39.03%,,,,,部分,中国基金报/年报
平安理财,股份行,平安银行,,50,2020,深圳,10900,公开报道;较2024年-1219.41亿元,-10.04%,14.76,-23.20%,,,,,部分,中新经纬/年报
广银理财,股份行,广发银行,,50,2021,广州,1908.09,公开报道,+4.63%,2.54,-8.96%,,,9.10%,理财业务报告(财联社整理),较全,东方财富/中新经纬/财联社
恒丰理财,股份行,恒丰银行,,20,2022,青岛,2333.59,年报管理规模,+40.64%,2.63,-2.80%,,,,,部分,财经网/中新经纬
渤银理财,股份行,渤海银行,,20,2022,天津,2489.32,公开报道,+50.11%,未公开精确值,+0.68%,,,,,部分,财经网/东方财富
浙银理财,股份行,浙商银行,,20,2025,杭州,1824.58,年报产品余额,新开业无同比,0.88,新开业无同比,,,,,较全,21世纪经济报道
苏银理财,城商行,江苏银行,,20,2020,南京,8261.59,年报产品规模,+30.48%,8.83,,,8.26%,理财业务报告(财联社整理),较全,21世纪经济报道/中新经纬/财联社
宁银理财,城商行,宁波银行,,10,2019,宁波,6962.87,年报管理规模,+47.04%,9.70,+30.38%,,,,,较全,21世纪经济报道;注册资本公开报道多为10亿元
南银理财,城商行,南京银行,,20,2020,南京,6100,公开报道“站上6100亿元”,+29.98%,6.84,+15.54%,,,,,部分,21世纪经济报道
杭银理财,城商行,杭州银行,,10,2019,杭州,6076,年报/业务报告,+38.53%,8.52,-5.86%,,,14.93%(907.4亿元;直接投资10.41亿元/间接907.2亿元),理财业务报告,较全,中国证券报/中国证券报非标报道/财联社
上银理财,城商行,上海银行,,30,2022,上海,3858.65,年报/公开报道,+18.05%,1.51,+23.77%,,,,,较全,21世纪经济报道;注册资本公开报道30亿元
北银理财,城商行,北京银行,,20,2022,北京,4600,Wind取整约数,,2.47,-4.13%,,,,,部分,国泰海通/Wind转引;中新经纬利润
徽银理财,城商行,徽商银行,,20,2020,合肥,2364.85,公开报道,+19.60%,未公开精确值,,,,,部分,21世纪经济报道
青银理财,城商行,青岛银行,,10,2020,青岛,2100,Wind取整约数;同比+3.15%,+3.15%,1.87,-37.04%,,,,,部分,国泰海通/Wind转引;中新经纬利润
渝农商理财,农商行,重庆农商行,,20,2020,重庆,1500,Wind取整约数,,3.02,+23.27%,,,,,部分,国泰海通/Wind转引;财经网利润
法巴农银理财,合资,农银理财,法国巴黎银行,,2022,上海,892.83,公开报道,+202.04%,未单独披露,,,,,部分,财经网/中新经纬
贝莱德建信理财,合资,建信理财,贝莱德,10,2021,上海,438,公开报道,+60.97%,未单独披露,,,0,理财业务报告(财联社整理),部分,财经网/财联社
高盛工银理财,合资,工银理财,高盛,13.5,2022,上海,409.84,公开报道,+45.16%,未单独披露,,,,,部分,财经网;注册资本公开报道13.5亿元
施罗德交银理财,合资,交银理财,施罗德,,2022,上海,340.17,公开报道,+99.10%,未单独披露,,,,,部分,财经网/中新经纬
汇华理财,合资,中银理财,东方汇理,,2020,上海,323.31,公开报道,+105.81%,-0.69,减亏约8%,,,不足3%,理财业务报告(财联社整理),部分,财经网/中新经纬/财联社
