period,company,country,share_pct,installations_gwh
2025,CATL,China,39.2,464.7
2025,BYD,China,16.4,194.8
2025,LG Energy Solution,Korea,9.2,108.8
2025,CALB,China,5.3,62.8
2025,Gotion High-tech,China,4.5,53.5
2025,SK On,Korea,3.7,44.5
2025,Panasonic,Japan,3.7,44.2
2025,EVE Energy,China,2.6,31.3
2025,Samsung SDI,Korea,2.4,28.9
2025,SVOLT,China,2.4,28.5
2025,Others,Other,10.5,124.9
2026M1-M5,CATL,China,40.2,188.4
2026M1-M5,BYD,China,14.4,67.6
2026M1-M5,LG Energy Solution,Korea,8.7,41.0
2026M1-M5,CALB,China,5.1,23.8
2026M1-M5,Gotion High-tech,China,4.6,21.7
2026M1-M5,SK On,Korea,3.4,15.8
2026M1-M5,EVE Energy,China,3.3,15.4
2026M1-M5,Panasonic,Japan,3.2,15.1
2026M1-M5,SVOLT,China,2.6,12.1
2026M1-M5,Sunwoda,China,2.4,11.4
2026M1-M5,Others,Other,12.1,56.8
